,year,title,abstract,theme,China,Russia,War,President,US,Vietnam,Cold War,World War,Vietnam War,Korean War,Survey,Case Study,Trade,Humanitarian,fixed_effects,instrumental_variable,regression,experimental
18,2002,"Pride, Prejudice, and Plutonium: Explaining Decisions to Acquire Nuclear Weapons","Why, when, and how do state leaders decide to acquire nuclear weapons?  Although the underlying capacities necessary to build nuclear weapons are ubiquitous, fewer than 10 states actually have the bomb.  I argue that the decision to go nuclear is a revolutionary decision that requires an extraordinary degree of motivation and certitude.  This psychological state in the individual decision maker results from the combination of an existential fear of an external outgroup and a staunch ingroup pride.  Leaders holding ""oppositional nationalist"" sentiments have a unique predisposition to experience this explosive psychological cocktail.  Oppositional nationalism combines ""opposition""—a depiction of the nation as endangered by an Other that is deeply menacing to its core interests and values—with ""nationalism""—a depiction of the nation as capable of finding the means and the will that will allow it to face the Other down.
I test my theory against the nuclear histories of four very different countries: Argentina, Australia, France, and India.  The first two did not go nuclear, while the second two did.  In each case I use rigorous analysis on original data to explain the why, when, and how of their decisions on the bomb, as well as of their decisions on related issues such as whether to build up nuclear technology, to seek nuclear security guarantees, and to sign international nuclear arms control agreements.
         The overall approach introduced here has wide potential applicability.  The fundamental novelty of this approach is to emphasize the role of emotions as conduits for the expression of deeply held understandings of the nation's purposes and potential in the international arena.  It marries a flesh-and-blood model of human decisionmaking with a social-scientific approach to issues of measurement and theory-testing.

",Nuclear Weapons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2002,Long March to Peace: China and the Settlement of Territorial Disputes,"Based on its imperial history and military power, China today ought to be a state that resolves its territorial disputes through coercion or the occupation of contested territory.China has, in fact, participated in a large number of disputes, but surprisingly it has settled the majority of them by signing compromise agreements that divide contested territory. Of China's 23 disputes, six were settled in the 1960s and another twelve were defused or resolved in the 1990s. My dissertation explains this puzzle: why a strong state with historical grievances and potential irredentist claims might peacefully settle its territorial disputes.
I argue that China's behavior is best explained as a response to real or perceived windows of vulnerability with respect to territorial integrity. When faced with an internal challenge to territorial integrity, such as a rebellion or revolt, Chinese leaders are much more likely to settle outstanding disputes through compromise agreements. By improving relations with its neighbors, Chinese leaders seek to close these windows and focus efforts on establishing or restoring domestic order. When faced with an external challenge to territorial integrity, China is more likely to consider the use of force, especially during periods of perceived internal weakness or when such pressure is linked directly to vulnerable borderland regions. 
To make this argument, I develop an informal model of territorial dispute settlement. I begin with the assumption that leaders have strong incentives not to settle territorial disputes, lest they suffer punishment at home. Any explanation of dispute settlement must then explain how these incentives change, giving leaders a reason to pursue otherwise costly compromise agreements. This model demonstrates that leaders will seek to settle territorial disputes based upon a change in the opportunity costs for participating in territorial disputes, usually poor relations with neighboring states or diverted resources. Importantly, a range of domestic and international factors can produce dramatic shifts in these opportunity costs. 
 The demographic characteristics of China' s border regions are a key driver of China' s opportunity costs. In non-ethnic Chinese minority areas, many of which lie along its international borders, China is much ~ likely to settle territorial disputes in response to internal challenges to territorial integrity, such as rebellion or revolt. China' s two waves of dispute settlements stem from the Tibetan revolt and Xinjiang migration in the early 1960s and widespread ethnic unrest in the 1990s, respectively. External pressure on these non-Chinese minority areas, especially during periods of unrest, greatly increase the likelihood that China will use force in support of its claims to maintain territorial integrity.
 By contrast, China is much ~ likely to seek compromise settlements over Chinese areas. Given the importance of Ran Chinese areas in modern CCP nationalism, there is no set of opportunity costs that would lead China' s leaders to pursue a compromise settlement of these disputes. Rather, China's leaders would prefer to delay settlement until the other side was willing to agree to its terms. China is also more likely to use force in such disputes in response to a much lower level of external pressure on ethnic Chinese areas, namely when it perceives a trend towards growing autonomy or independence. Likewise, China is much ~ likely to pursue compromise settlements over unpopulated offshore islands. Distant from the continental mainland and without any native population, these features are not central to the territorial integrity of the Chinese state nor are they costly for China's leaders to dispute. Thus there are few incentives to settle these disputes.
",Culture,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2002,How Refugee Crises Lead to the Spread of Civil War,"sending state pursues the refugees, subjecting them to military attack. In other cases, militant exiles use the refugee camps as rear bases in their attacks on the sending state. As the cross-border attacks escalate, the risk of international war grows. Since the early 1990s, refugee crises in Central Africa, West Africa, the Balkans, and Indonesia have led to the international spread of internal conflict.
The recurring pattern of violent refugee crises, prompts the following three questions: 1) How widespread is the phenomenon of political violence involving refugees? 2) Under what conditions do refugee crises cause a civil war to spread across borders? 3) What role can international actors, such as the United Nations or the United States government, play in preventing the spread of violence? To answer the above questions, this project presents new time series data on refugee-related political violence and also systematically compares violent and non-violent crises involving Rwandan, Bosnian, and Afghan refugees.
This project advances a political explanation for the spread of civil war in refugee crises and tests it against the prevailing socioeconomic explanation. According to the political explanation, three factors combine to cause the spread of civil war. 1) Strong political cohesion among the group before exile determines initial refugee militancy. 2) A refugee hosting state that lacks the capability and/or willingness to secure borders and demilitarize refugees facilitates the spread of war. 3) Third party states and non-state actors that intentionally or inadvertently contribute resources to combatants expand the conflict. 
",Civil War,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2003,"The War’s Not Over Until the Last Man Comes Home!’:
Body Recovery And The Vietnam War
","After the Vietnam War, the United States undertook what Senator John Kerry has characterized as “the most expensive, most thorough, most effective, most extraordinary and comprehensive effort to provide for the accounting of the missing in the history of human warfare.”  That effort focused on recovering American remains from Southeast Asia.  This dissertation examines the origins and influence of the unprecedented effort to recover American remains from Southeast Asia after the Vietnam War through an historical analysis of political culture.  

Ostensibly pursued as part of a long military tradition meant to provide “closure” to the families of the missing, post-Vietnam body recovery was markedly different from any such effort that came before it, and inspired controversy more than closure.  I argue that body recovery was perpetuated after the Vietnam War due to the inability of state and military authorities to control the process as they had in the past.  While state elites sought to use body recovery to reconstruct popular nationalism and political obligation in the wake of the war, MIA activists seized on its limitations as evidence of the ongoing betrayal of Vietnam-era servicemen.  Though the POW/MIA movement is often perceived as right-wing, even militaristic, its insistence upon “the fullest possible accounting” for missing Americans represented a fundamental challenge to the citizen’s obligation to sacrifice for the state that re-shaped patriotic culture and placed strict constraints on military action in the post-Vietnam era.  
",Military History,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
28,2003,Pathogens as Weapons: The International Security Implications of Biological Warfare,"In contrast to the nuclear revolution, the security implications of biological weapons and the biotechnology revolution have not been subject to the same degree of rigorous analysis. This dissertation draws upon a range of theories from the field of security studies including offense-defense theory, deterrence theory, the security dilemma, and opaque proliferation theory to analyze the strategic consequences of the proliferation of biological weapons to states and non-state actors. The dissertation argues that since biological warfare strongly favors the attacker, the dual-use nature of biotechnology makes it is difficult to distinguish between offensive and defensive or civilian activities, and these weapons undermine deterrence, it will be extremely difficult to prevent the proliferation of these weapons to dissatisfied actors seeking a means of challenging the status quo. In addition, the intense secrecy shrouding biological weapons programs will lead to suspicion abroad and flawed decision-making at home. Contrary to convention wisdom, I find that biological weapons are not equivalent to the “poor man’s atomic bomb” and are not well suited to fulfilling the strategic deterrent role performed by nuclear weapons. In addition, the accessibility of these weapons and their suitability for conducting anonymous attacks undermines deterrence by raising the prospect of acquisition by non-deterrable actors such as terrorist groups and reducing the credibility of retaliatory threats by complicating the ability of states to identify the perpetrator of an attack. As the proliferation and sophistication of biological weapons grows, the strength of these destabilizing influences on international security will only increase.",Unconventional Warfare / Conflcit Between States,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2004,Dual Containment and European Integration. ,"This dissertation seeks to answer a simple question: why have the states of Western Europe integrated their economies since 1945? In the process of answering this question, Mr. Rosato answers several others. Why have they failed to integrate their militaries? Why has integration not occurred elsewhere or at other times? And what are the prospects for a ‘United States of Europe'? The central argument of this work is that economic integration in a given region of the world is structurally determined. What matters most in this story is the distribution of power among the major states both within the region and globally. Economic integration occurs if two specific conditions hold. First, the region in question must be unipolar, that is, it must contain only one great power, and it must also contain a potential great power. Second, the international system as a whole must be bipolar. The logic behind this claim is straightforward: the presence of a single great power and a potential great power in a region engenders a dual containment problem, economic integration offers a solution to that problem, and global bipolarity provides the conditions under which integration can be successfully carried out. Each of these three conditions was met in postwar Europe. Mr. Rosato tests the plausibility of his argument by comparing Europe after 1945 to Europe before 1945, as well comparing Europe after 1945 to Asia and North America after 1945. In addition, he process traces all the major events in integration history to establish whether events in Europe unfolded as his theory predicts.",IR Scholarship,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2004,The Benefits of Escalated and Enduring Territorial Disputes: Why Settlement is Not Always the Best Strategy,"The most enduring territorial disputes and those that are most likely to escalate to tense situations, which could involve threat or use of force, are those over territory with only nationalist value - historic links to the land or ethnic ties, regardless of whether the territory has economic value. It is puzzling why rational decision makers often persist 
in disputes when settlement could provide significant economic benefits to both states or why settlement over territory with no economic value is so difficult to achieve. To explain why disputes with nationalist value alone or together with economic value are most enduring and most likely to escalate, Ms. Wiegand proposes three factors that influence decision makers in their choice of strategies. Ms. Wiegand proposes three factors that influence decision makers in their choice of strategies. These factors, level of domestic support, level of reputation for resolve in bargaining, and level of interdependence, could provide decision makers and states with non-territorial payoffs that provide incentives to persevere, attempt settlement, or escalate. She hypothesizes that decision makers with vulnerable domestic support and states with weak bargaining positions and weak interdependent relationships are least likely to attempt settlement and more likely to escalate. To test the theory, she uses quantitative and qualitative analysis of four territorial disputes: 1) Falkland/Malvinas islands (Argentina-United Kingdom), 2) Senkaku/Diaoyu islands (China-Japan), 3) Hawar islands (Qatar-Bahrain), and 4) Belize (Guatemala-Belize). Findings from all four disputes show that the above-mentioned factors do play a significant role in the strategies of decision makers in territorial disputes
",IR Scholarship,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2004,The Utility of Force: War Aims and Asymmetric War Outcomes,"Despite their immense war-fighting capacity, major power states failed to attain their primary political objective in almost 40% of their military operations against weak state and non-state targets since 1945. Why do strong states frequently fail to achieve even limited objectives when they use military force against vastly weaker targets? Evidence from recent research suggests that war outcomes are largely a function of strategic selection (war initiation), military-industrial capabilities, combat effectiveness, and strategy choice. But none of these factors can explain why a major power would ever lose an armed conflict with a weak target. In sharp contrast to existing theories, Ms. Sullivan focuses on the political objectives of a military operation to explain asymmetric war outcomes. She argues that relative military capabilities and relative tolerance for the costs of war affect the outcome of all wars, but that in asymmetric wars, the marginal effect of these two factors varies according to the nature of the political objective being pursued by the strong state. By acknowledging the critical role of war aims, this theory is able to 1) identify constraints on the military effectiveness of strong states and 2) specify the conditions under which military capabilities determine outcomes and those under which relative tolerance for costs moderates the effectiveness of force. The empirical implications of the theory are tested on an original data set of all major power military operations against both state and nonstate targets since World War II. ",Military History,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,2004,"Minds, then Hearts:” U.S. Psychological Warfare During the Korean War","Minds, then Hearts examines the resistance on the part of the U.S. military (principally the Army) towards psychological warfare and examines how this affected the weapon's use during the Korean War. In particular, the dissertation examines how the inability to demonstrate conclusively the effects of psychological warfare operations added to uncertainty and skepticism over the weapon's potential and actual impact on the battlefield. Additionally, the study explores how operational deficiencies, such as a lack of resources and poor integration with combat arms, created obstacles hampering the successful employment of psychological warfare against Chinese and North Korean forces. The study also compares the Army's efforts to use the weapon with those of the Air Force. It considers how Chinese and Russian atrocity propaganda affected the views of the U.S. military concerning their own psychological warfare campaigns. Finally, this study addresses whether or not psychological warfare made a difference on the battlefield. Mr. Jacobson's work fills an important gap. Despite the fact that the Cold War era was at its heart a “war of ideas” and propaganda played a great role on the “hot” battlefields of the time, there are, to date, no comprehensive studies of psychological warfare during the Korean War. ",Military History,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
37,2004,When Do Brokers Have to Be Honest? Impartiality and the Effectiveness of Third-Party Intervention in Violent Conflict,"Among students of conflict management, a long-standing point of contention concerns the role of impartiality in shaping intervention outcomes. Existing research has yielded inconclusive results, with some studies showing interveners more likely to succeed if they adopt the role of an “honest broker,” others indicating exactly the opposite, and yet others suggesting that it does not matter much at all whether interveners are impartial or biased. In his dissertation, Mr. Schmidt seeks to reconcile these contradictory findings by showing that there is no simple, uniform answer to the question of how impartiality relates to intervention success. Drawing on insights from rational choice theories of crisis bargaining and war, he argues that the relationship between impartiality and intervention outcomes is an inherently contingent one that varies depending on the nature of the bargaining problem(s) confronting disputants as well as the conflict management strategy employed by the intervener. Game-theoretic modeling is used to explore the implications of this argument and identify the specific conditions under which impartiality enhances or reduces the efficacy of peacemaking efforts. The empirical part of the dissertation tests the resulting hypotheses against historical cases of intervention in both interstate and civil conflicts using a combination of statistical and case study methodology.",ConflictBetween states,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,2004,"SOVIET PACIFICATION POLICY IN THE WESTERN BORDERLANDS, 1939-50","My dissertation investigates the Soviet response to guerrilla warfare in the regions incorporated after the Nazi-Soviet pact: Western Ukraine, Western Belorussia, Lithuania, Latvia and Estonia. It is based on primary research in three Russian, two Ukrainian and one Canadian archive. It focusses on the nature of this conflict, the Soviet pacification strategy and the means employed against the insurgencies. Its major goal is to illuminate the peculiarities of the Soviet pacification experience in the global context, and explain the causes for the successes and failures of the Soviet approach. It addresses the following issues: the response of a multiethnic totalitarian state to nationalist challenge; the strategy of the Soviet security agencies and the problems they faced in implementing their policy at lower levels; the attitude of the civilian population caught in crossfire between the state and guerrillas; and the lessons of the Soviet experience. The dissertation shows how a quasi-Marxist ideology affected the Soviet counterinsurgency doctrine, examines the alternatives the regime had within its ideological framework and explains its choice of pacification means. It demonstrates that, contrary to common belief, Soviet pacification was based not on force alone but blended coercion with social reforms relying largely on winning the majority of the local population over to the government’s cause. In particular, I show how the Soviets used the agrarian reform to split rural society and turned counterinsurgency from a political confrontation between the state and the local population into a social conflict that brought them many more allies than enemies. I argue that Soviet pacification was mostly rational but it was undermined by other policies unrelated to it, such as collectivization, imprecise identification of the enemy prompted by Stalinist dogma, and unauthorized violence by low-level executives that made pacification much more violent that the government intended.",Conflict Between states,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2004,"Militarizing the Western World: Navalism, Empire, and State Building in Germany and the United States Before World War I.","This dissertation is a study of German and American navalism at the beginning of the twentieth century. Focusing on naval officers and institutions, the study explores how navalism defined the place of military force and the naval profession in state, civil society, and foreign relations. The analysis focuses on three issues — imperial policy, maritime warfare, and state building — and probes the underlying premises and practices of naval professionalism. The central contention of Militarizing the Western World is that navalism in Germany and the United States was part and parcel of a transnational militarism. Experts stressed the need to master naval warfare in a scientific and managerial manner. They participated in an increasing bureaucratic domination of society for the purposes of international competition. Dr. Bönker's study challenges both scholarly and popular understandings of Western militarization before 1918. Previous studies have stressed the unique nature of Prussian-German militarism and emphasized its role in causing the Great War. These works have also contrasted Prussian-German militarism with West European and American liberal democracies and political modernity. In fact, however, Germans and Americans pursued a common naval project. By paying attention to the transatlantic crossings and borrowing, Dr. Bönker contributes to the developing field of transnational history. ",Military History,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2004,"Paths from War:
 Conflict and Peace between Former Belligerents
",I investigate post-war relations in order to understand why and when some pairs of former belligerent states are able to reach higher levels of peace while other pairs leave one war to prepare for another war or languish in low levels of peace. I start by introducing the current empirical approaches to recurrent conflict and I maintain that we need to reconsider our conceptualization of peace and move away from thinking of peace as being the absence of conflict. I argue that we need to integrate into our analysis of warfare the various levels of peace that these countries attain and to study to a much greater extent the determinants of various levels of peace. I suggest a number of hypotheses developed from existing literature and test these hypotheses relying upon statistical estimation techniques. The findings indicate that many factors influence the chances of another war and attaining higher levels of peace but that these elements need to be considered within the context of the dyad’s level of peace.,IR Scholarship,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2004,International conflict and Cooperation: The Interaction of Power and Interests,"Realism, constructivism, and some strains of liberalism tell us that power and interest are two of the most important concepts in the study of interstate conflict and cooperation. Despite this attention the theoretical literature is unclear about the proper relationship between power and interest, and their relationship to conflict and cooperation. Focusing at the dyadic level, I argue the meanings of power and interest are intertwined. The effects of both variables are conditional on the other. Understanding this conditional relationship sheds new light on common understandings of the security dilemma in international politics. I test my theory with statistical models on the incidence, timing, and severity of interstate disputes and on alliance formation and duration. The results of these statistical models support the argument that there is a meaningful interaction between power and interests and contradict much of the current literature on the relationship between power and interstate conflict and cooperation. I elucidate the causal mechanisms of the theory, and show directly how it relates to the security dilemma, with a case study of the end of the Cold War.",IR Scholarship,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
40,2005,When Good Fences Make Good Neighbors; And When They Make Bad Ones: the International Effects of ‘Border Fixity’,"Since the end of the Second World War, an international norm of “border fixity”— a proscription on the use of force to alter interstate boundaries — has become prevalent in world politics. As a consequence, very few cases of conquest and annexation of homeland territory occurred since 1945. The dissertation asks what are the effects of the norm of border fixity on interstate conflict and peace? 
The dissertation advances the argument that the effects of border fixity would diverge according to the states’ institutional strength — that is, the degree to which it possessed effective governmental institutions and enjoyed high level of legitimacy as a state — at the historical moment of the normative shift. In regions where states are institutionally strong, border fixity is likely to result in a positive shift to a more peaceful and stable international environment, because  (a) wars of territorial conquest are no longer a legitimate option to states; (b) states that are confident about the preservation of their borders are less likely to think in “zero-sum” terms and are likely to face lower levels of the security dilemma; and (c) these states are likely to be involved in fewer conflicts that originate from real or imagined damage to their credibility.
 In regions where states were weak or failed at the historical moment of the normative shift, however, border fixity might have adverse consequences for international relations. Border fixity might perpetuate and exacerbate state weakness, since it deprives them of what was historically the single most potent source of state building: a threat to the states’ territorial integrity and survival. State weakness, in turn, is likely to be a major cause of international conflict because (a) it creates more civil conflicts that tend to spill across borders; (b) it encourages internal scapegoating; (c) it increases opportunities for outside (non-territorial) intervention; and (d) it might create safe heavens for international terrorism, which would invite retaliation by other states.  
The dissertation studies the effects of the border fixity norm thorough examination of eight empirical cases, which spread across time and space. 
",IR Scholarship,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,2005,"IN THE FIST OF EARLIER REVOLUTIONS: POST-EMANCIPATION SOCIAL CONTROL AND STATE FORMATION IN GUANTÁNAMO, 1868-1912","This dissertation charts transformations in social control mechanisms in a rural district in southeastern Cuba during the gradual demise of slavery into the opening decades of the twentieth century.  It examines how changes wrought by slavery’s end concurrent with wars of national independence against Spanish colonial rule, and American intervention into that conflict during 1898, shaped the Guantánamo jurisdiction from a colonial frontier to a North American enclave. The study contributes to scholarship on shifts in racial constructs, citizenship, free labor, and liberalism in New World Diaspora societies marked by legacies of coercive labor.
Dissimilar and distinct military mobilizations of black soldiery were salient emancipatory factors in the last three nations of the hemisphere to abandon their “peculiar institution” of slavery: the United States (the Civil War 1861-65), Brazil (the Paraguay War, 1864-70 with final abolition by 1888), and Cuba (the Ten Years’ War, 1868-78 with final abolition in 1886).  This project addresses social implications of Cubans of color and former slaves engaged in anticolonial mobilizations during the island’s transformation from colony to republican nation-state. I argue that the rebellion against the metropolitan state challenged enduring local structures of social domination and power, confronting but not overturning enduring social control mechanisms designed to defend property and discipline the colonial social order.  By 1895, a cross-racial and cross-class tactical alliance rekindled the independence struggle against Spain, and its local sources of power, extracting war taxes from landowners – an incipient politics of the social function of property.  
After U.S. occupation, and independence by 1902, that alliance did not last. In the newly constituted republic, political unrest that threatened property destruction and sabotage at sugar estates as in the nationalist rebellions met with repression.  In 1912 a black political party operating outside of established patronage networks was crushed while U.S. Marines hastened to occupy U.S.-owned properties in the district.  The repressive episode disciplined agricultural labor and black politics in the district, while planters imported contract laborers from Haiti and the West Indies in an attempt to ethnically segment the workforce and drive down wages in the early decades of the twentieth century.  
",Domestic Policy,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2005,"Enforcement Histories and the Violation of Formal Cease-Fire Agreements, 1948–1998","
When do we expect states to violate formal cease-fires and peace agreements? Does the spectre of tough enforcement prevent states from breaking their cease-fires and peace agreements? I present a theory, consistent with the game theoretic literature on reputation-building, that suggests that states can decrease the probability that their agreements will be violated by investing in a record of tough enforcement. I test these predictions among a field of alternative hypotheses using large-n quantitative analysis on data sets describing formal cease-fires and peace agreements, providing the first quantitative test of predictions of cease-fire failure and violations short of failure.",Military History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2005,"Shouldering the Soldiering: Democracy, Conscription and Military Casualties","As the American death toll in Iraq approaches 1,800 some IR scholars may be perplexed. Only a few years ago foreign policymakers in Western democracies, including the United States, were de-scribed as being extremely sensitive to the risk of military combat casualties.  Among the factors that influence the number of casualties that a democracy will experience in conflict, one variable that should not be ignored is its military manpower system. I contend that democracies with con-script armies experience fewer combat casualties than democracies with volunteer or professional forces, all things being equal, because the societal actors most closely impacted by conscript casual-ties are more likely to have the political power and access with which to constrain policymakers.  Using several selection models I find that democracy and conscription contributes to fewer casual-ties than democracy and volunteer militaries with democracy alone being responsible for casualty numbers that lie somewhere in between.
 
",Military History,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2007,"Elihu Root, New York Elites, and the Creation of the Military-Industrial Complex","This dissertation examines the origins of the American establishment that dominated civilian leadership of the military for much of the twentieth century, focusing on Elihu Root’s career as wealthy corporation lawyer, New York elite, political reformer and Secretary of War.  This is a cultural study that draws from the methodology of Isabel V. Hull’s study of the military culture of Imperial Germany, but unlike Hull’s work it focuses not on military culture, but on the culture of the elites who dominated civilian leadership of American’s defense and foreign policy establishment.  In a society with robust civilian control of the military, the basic assumptions shared by these elites influenced the creation of institutions and institutional norms that limned and shaped later policy choices and decisions.  As Hull observed, 
“The motor of organizational behavior is its basic assumptions. Because these remain hidden from the actors and often contradict their stated beliefs, discovering the constellation of basic assumptions is not always straightforward. One must begin by examining the patterns in their practices. But basic assumptions are always revealed in the group’s language (which indicates categories of perception), myths, explanations of events, standard operating procedures, and doctrines.”  
By examining in detail the career of Elihu Root, the first of the “greats,” this dissertation explores these basic assumptions at the point of their creation and the impact of those assumptions on the American military establishment. That impact was first felt through the institutions Root created or shaped, and the cultural template he became for a uniquely powerful group of policymaking elites. 
The institutional reforms Root initiated at the beginning of the twentieth century marked an important break with the country’s original military traditions and created the structures that supported the transformation of the country’s military establishment. The creation of a war college, a general staff and a nationalized militia were important steps in the development of the country’s military institutions. These institutions made possible the creation of a military-industrial complex at home and the deployment of preponderant military power abroad. Newton Baker, Secretary of War during the First World War, remarked that Root’s role in creating the General Staff was “not only his outstanding contribution to the national defense of the country, but the outstanding contribution made by any Secretary of War from the beginning of history. Without that contribution from him, the participation of the United States in the World War would necessarily have been a confused, ineffective and discreditable episode.”  Equally important as Root’s institutional legacy was the legacy of leadership he created for the establishment elites who self-consciously modeled their careers after his and helped to enshrine his values and the values of his class into the ethos of civilian leadership of the military. A number of popular histories have chronicled the “small circle of men and women who … framed American foreign policy during at least the first two decades after World War II,” the people Alan Brinkley called the “icons of the American Establishment.”  At the height of their influence during the first half of the Cold War, men such as George Keenan, Charles Bohlen, Dean Acheson, Robert Lovett and Averell Harriman created and directed the containment strategy that ultimately prevailed over the Soviet Union. Seldom if ever holding offices that required subjecting themselves to elections, they exercised their power behind the scenes, leaving the stage and the spotlight to others. Like Root, they championed the interests of the political power behind America’s expansionist policies — the country’s wealthy class from whose ranks most of the establishment elites were drawn and to which the rest aspired to belong. They pursued a foreign and defense policy based on the belief that there was a seamless connection between the interests of their class, America’s national interests and the interests of the world.  They were men who shared “an unabashed belief in America’s sacred destiny (and their own) to take the lead in protecting freedom around the globe and create what Henry Luce in a 1941 Life magazine article envisioned as the American Century.” 
This dissertation explains how those establishment relationships were first created, how they operated and what gave them legitimacy. It explores how a group of elites, each connected in some way to New York’s legal and financial centers, was able to gain, exercise and maintain power over the American military establishment. It focuses on Root as the founder of the line — a wealthy corporate lawyer, New York elite and political reformer, who became first Secretary of War and then Secretary of State. While Root’s achievements in public service were formidable, he was the product and beneficiary of specific routes to power. Much of his importance derives not from the institutions he created or the reforms he championed, but from how he and others were able to exploit and sustain the conditions that brought them to power. Therefore, this is less a study of the importance of Root than a study of what his career tells us about those like him in his generation and after, the world that produced them, and the world they produced. It examines the role of institutions as gatekeepers and instruments of power, the role of social networks connecting elites and institutions, and the role of culture in creating and mediating those networks. It is a study of the creation, distribution and manipulation of power through networks and institutions based on shared cultural attributes and values, and the role of culture in creating and maintaining legitimizing authority. More than the history or legacy of one prominent elite, it is the history of a culture of power and influence and its impact on America’s military establishment. 
",Other,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
56,2007,Rational Empires: An Institutional Theory of Imperial Expansion ,"Formal imperial expansion is a phenomenon that is poorly explained by existing
international relations and political economy literature. I present a theory of revenue
maximizing sovereigns choosing to conquer or not conquer regions based on their
institutional constraints and incentives, the institutional constraints and incentives of
imperial rivals, as well as the presence or absence of an “assurance framework” of
institutions in the target region. The model is formalized as games of incomplete
information which are solved for Bayes Nash equilibria.
I find that states with small winning coalitions have a weakly dominant strategy to
take territory, regardless of rival or target attributes, due to their inability to obtain useful
benefits without direct political control. Small W states (such as 19th century Portugal)
cannot politically sustain free trade in their own domain, and cannot even benefit from
other actors providing access to free trade zones; therefore, such states seek to acquire
formal control of territory to control the flow of private goods. For large W states (such
as 19th century Great Britain) the predictions are more complicated. They prefer to not
colonize territories and gain access to additional resources through trade. They do engage
in territorial expansion, however, when the belief in attractive institutions in the target is
low or when they are confronted with predatory small W rivals. The theory also predicts
that small W states will engage in more plunder and provide fewer public goods in their
colonies and hold these colonies longer; while the converse should be true in colonies
taken by large W actors.
Employing primary and secondary sources, I test the theory against alternative
arguments to account for patterns of European imperial expansion in nineteenth-century
tropical Africa and China – explaining the large scale formal acquisition of territory in
Africa and the lack of such acquisition in China. In addition, a longitudinal study of
British India is executed to test the hypotheses regarding the provision of public goods
and plunder as British domestic institutions evolve over time.
The dissertation both explains and predicts broad patterns of behavior in the
international system and displays relevance to current foreign policy. For example, in the
current Iraq conflict the Bush administration’s initial goals of transplanting Western-style
liberal democratic institutions now seem untenable. “Rational Empires” describes the
characteristics of an assurance framework of institutions; this would be a significantly
less ambitious, but still useful, goal. ",IR Scholarship,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
