,province,specific,general,year,gdp,fdi,rnr,rr,i,fr,reg,it
283,Shanxi,469514.0,153640.0,2003,2855.23,21361,0.0,0.0,0.0,1321004,North China,2143190
284,Shanxi,746660.0,521731.0,2004,3571.37,62184,0.0,0.0,0.0,,North China,2805241
285,Shanxi,746660.0,,2005,4230.53,27516,0.0,0.0,0.0,,North China,3112157
286,Shanxi,1067665.0,653383.0,2006,4878.61,47199,,,,3820350,North China,3949897
287,Shanxi,2189020.0,661200.0,2007,6024.45,134283,,,,5978870,North China,5070166
288,Sichuan,300296.0,,1996,2871.65,22519,0.0,0.0,0.0,1930121,Southwest China,1146410
289,Sichuan,105235.0,,1997,3241.47,24846,0.0,0.0,0.0,419892,Southwest China,1036645
290,Sichuan,394003.0,,1998,3474.09,37248,0.0,0.0,0.0,1768590,Southwest China,1235603
291,Sichuan,594437.0,,1999,3649.12,34101,0.0,0.0,0.0,1886126,Southwest China,1598484
292,Sichuan,575550.0,34842.0,2000,3928.2,43694,0.03,0.03,0.0,1710605,Southwest China,2268499
293,Sichuan,760559.0,,2001,4293.49,58188,0.03,0.03,0.0,1943971,Southwest China,3334591
294,Sichuan,978069.0,154364.0,2002,4725.01,55583,0.03,0.03,0.0,2018672,Southwest China,4062020
295,Sichuan,909559.0,229895.0,2003,5333.09,41231,0.0,0.0,0.55,2329505,Southwest China,4039036
296,Sichuan,1777396.0,910038.0,2004,6379.63,70129,0.0,0.0,0.55,,Southwest China,5367210
297,Sichuan,1777396.0,,2005,7385.1,88686,0.0,0.0,0.55,,Southwest China,6077526
298,Sichuan,2225220.0,1187958.0,2006,8690.24,120819,0.0,0.0,0.55,4247403,Southwest China,7646885
299,Sichuan,3937966.0,1725100.0,2007,10562.39,149322,,,,8508606,Southwest China,10384846
300,Tianjin,57908.0,,1996,1121.93,200587,,,,430700,North China,303992
301,Tianjin,57908.0,,1997,1264.63,251135,,,,430700,North China,324033
302,Tianjin,39364.0,,1998,1374.6,211361,,,,540178,North China,361723
303,Tianjin,45463.0,,1999,1500.95,176399,0.0,0.0,0.0,605662,North China,422522
304,Tianjin,51821.0,,2000,1701.88,116601,0.0,0.0,0.0,757464,North China,547120
305,Tianjin,35084.0,,2001,1919.09,213348,0.0,0.0,0.0,942763,North China,688810
306,Tianjin,81217.0,,2002,2150.76,158195,0.0,0.0,0.0,931573,North China,861190
307,Tianjin,86967.0,,2003,2578.03,153473,0.0,0.0,0.0,1043395,North China,951920
308,Tianjin,84660.0,89735.0,2004,3110.97,247243,0.0,0.0,0.0,,North China,1204870
309,Tianjin,84660.0,,2005,3905.64,332885,0.0,0.0,0.0,,North China,1213644
310,Tianjin,119536.0,124582.0,2006,4462.74,413077,0.0,0.0,0.0,2308652,North China,1440939
311,Tianjin,178022.0,165591.0,2007,5252.76,527776,,,,2955858,North China,1651578
312,Tibet,18829.0,,1996,64.98,679,0.181818182,0.0,0.0,27801,Southwest China,306114
313,Tibet,25185.0,,1997,77.24,63,0.181818182,0.0,0.0,33787,Southwest China,346368
314,Tibet,48197.0,,1998,91.5,481,0.0,0.24,0.0,3810,Southwest China,415547
315,Tibet,82209.0,,1999,105.98,196,0.0,0.24,0.0,44262,Southwest China,572711
316,Tibet,72939.0,20842.0,2000,117.8,2,0.0,0.24,0.0,50819,Southwest China,632880
317,Tibet,84177.0,,2001,139.16,106,0.0,0.84,0.75,55792,Southwest China,983251
318,Tibet,96825.0,45683.0,2002,162.04,293,0.0,0.31,0.0,59841,Southwest China,1308445
319,Tibet,147749.0,50097.0,2003,185.09,467,0.0,0.0,0.324324324,70048,Southwest China,1333133
320,Tibet,194722.0,125170.0,2004,220.34,2699,0.0,0.0,0.324324324,,Southwest China,1357285
321,Tibet,194722.0,,2005,248.8,1151,0.0,0.0,0.40625,,Southwest China,1912868
322,Tibet,207615.0,145000.0,2006,290.76,1522,0.0,0.0,0.40625,123888,Southwest China,2053980
323,Tibet,1097470.0,605400.0,2007,341.43,2418,0.0,0.0,0.222222222,201412,Southwest China,2867525
324,Xinjiang,130876.0,,1996,900.93,6639,0.0,0.0,0.0,465367,Northwest China,631854
325,Xinjiang,68080.0,,1997,1039.85,2472,0.0,0.0,0.0,519073,Northwest China,659862
326,Xinjiang,77447.0,,1998,1106.95,2167,0.0,0.0,0.0,#REF!,Northwest China,777020
327,Xinjiang,135435.0,,1999,1163.17,2404,0.0,0.0,0.0,667095,Northwest China,936181
328,Xinjiang,103041.0,81879.0,2000,1363.56,1911,0.0,0.0,0.0,740947,Northwest China,1174622
329,Xinjiang,124781.0,,2001,1491.6,2035,0.0,0.0,0.0,852746,Northwest China,1878432
330,Xinjiang,181409.0,197539.0,2002,1612.65,1899,0.0,0.0,0.0,974325,Northwest China,2150325
331,Xinjiang,265770.0,165071.0,2003,1886.35,1534,0.0,0.0,0.0,1108348,Northwest China,2355164
332,Xinjiang,339684.0,401229.0,2004,2209.09,4586,0.0,0.0,0.0,,Northwest China,2838346
333,Xinjiang,339684.0,,2005,2604.19,4700,0.0,0.0,0.0,,Northwest China,3421743
334,Xinjiang,487155.0,434318.0,2006,3045.26,10366,0.0,0.0,0.0,1938812,Northwest China,4686125
335,Xinjiang,1890650.0,1197400.0,2007,3523.16,12484,0.0,0.0,0.0,2858600,Northwest China,5502470
336,Yunnan,418803.0,,1996,1517.69,18000,0.0,0.0,0.0,1157063,Southwest China,1374111
337,Yunnan,453915.0,,1997,1676.17,16566,0.0,0.0,0.0,1279107,Southwest China,1452425
338,Yunnan,419082.0,,1998,1831.33,14568,0.0,0.0,0.0,1376730,Southwest China,1617463
339,Yunnan,395094.0,,1999,1899.82,15385,0.0,0.0,0.0,1463484,Southwest China,1888666
340,Yunnan,436189.0,123546.0,2000,2011.19,12812,0.0,0.0,0.0,1514364,Southwest China,2254281
341,Yunnan,846516.0,,2001,2138.31,6457,0.0,0.0,0.0,1594577,Southwest China,2856307
342,Yunnan,615593.0,36670.0,2002,2312.82,11169,0.0,0.0,0.0,1600475,Southwest China,3035767
343,Yunnan,681676.0,66100.0,2003,2556.02,8384,0.0,0.0,0.0,1807967,Southwest China,3388449
344,Yunnan,826297.0,147655.0,2004,3081.91,14200,0.0,0.0,0.0,,Southwest China,3957158
345,Yunnan,826297.0,,2005,3462.73,17352,0.0,0.0,0.0,,Southwest China,4280994
346,Yunnan,1224179.0,264185.0,2006,3988.14,30234,0.0,0.0,0.0,2972212,Southwest China,5046865
347,Yunnan,2482173.0,564400.0,2007,4772.52,39453,0.0,0.0,0.0,4867146,Southwest China,6832541
348,Zhejiang,273253.0,,1996,4188.53,152021,0.0,0.0,0.0,1291252,East China,740327
349,Zhejiang,330558.0,,1997,4686.11,150345,0.0,0.0,0.0,1432453,East China,814253
350,Zhejiang,426756.0,,1998,5052.62,131802,0.0,0.0,0.0,1761084,East China,923455
351,Zhejiang,586457.0,,1999,5443.92,123262,0.0,0.0,0.0,2146200,East China,1001703
352,Zhejiang,408151.0,,2000,6141.03,161266,0.0,0.0,0.0,2955508,East China,1135215
353,Zhejiang,358714.0,,2001,6898.34,221162,0.0,0.0,0.0,4436868,East China,1203372
354,Zhejiang,365437.0,321686.0,2002,8003.67,307610,0.0,0.0,0.0,4958329,East China,1962633
355,Zhejiang,391292.0,260313.0,2003,9705.02,498055,1.214285714,0.035714286,0.035714286,6217715,East China,2261631
356,Zhejiang,656175.0,276652.0,2004,11648.7,668128,1.214285714,0.035714286,0.035714286,,East China,3162299
357,Zhejiang,656175.0,,2005,13417.68,772000,1.214285714,0.035714286,0.035714286,,East China,2370200
358,Zhejiang,1017303.0,394795.0,2006,15718.47,888935,1.214285714,0.035714286,0.035714286,11537149,East China,2553268
359,Zhejiang,844647.0,0.0,2007,18753.73,1036576,0.047619048,0.0,0.0,16494981,East China,2939778
